term,coef,std_error,p_value,ci_low,ci_high,n
const,21.761567934215567,0.05258957267091354,0.0,21.658494265818224,21.86464160261291,501
t_z,0.26548552617762056,0.05635534350044174,2.4660078637216175e-06,0.15503108258037135,0.37593996977486976,501
t2_z,0.07126673691521185,0.05844382560893828,0.22269022915231418,-0.04328105639704688,0.18581453022747058,501
spearman_time_turnover,0.489870267433261,,1.3388920240423546e-31,,,501
