half_window,metric,break_date,delta_pp
63,us_trade_share,2022-12-14,-1.2963723153541329
63,us_trade_share,2022-12-21,-0.695414597916022
63,us_trade_share,2022-12-29,1.164816991348161
63,us_trade_share,2023-01-06,2.0196164755276467
63,us_trade_share,2023-01-13,1.152332261190242
63,us_trade_share,2023-01-23,1.8436672095248907
63,us_trade_share,2023-01-30,2.5690704318355797
63,us_trade_share,2023-02-06,2.61163713833229
63,us_trade_share,2023-02-13,2.5648074392239426
63,us_trade_share,2023-02-21,2.2576088488228843
63,us_trade_share,2023-02-28,2.9593347237855894
63,us_trade_share,2023-03-07,2.8556358477499657
63,us_trade_share,2023-03-14,2.7681808057576527
63,us_trade_share,2023-03-21,2.8052770541708183
63,us_trade_share,2023-03-29,1.6789489470507457
63,us_trade_share,2023-04-05,1.3839893456907337
63,us_trade_share,2023-04-13,1.3839893456907337
63,us_trade_share,2023-04-20,3.4059945380715773
63,us_trade_share,2023-04-27,3.1191798330850173
63,us_trade_share,2023-05-04,0.7780753234729598
63,us_trade_share,2023-05-11,1.4863177805103656
63,us_trade_share,2023-05-18,2.9825431679656065
63,us_trade_share,2023-05-25,2.496143617237462
63,us_trade_share,2023-06-02,2.4879357233525132
63,us_trade_share,2023-06-09,2.4589881436736905
63,us_trade_share,2023-06-16,2.9899302545245643
63,us_trade_share,2023-06-26,2.327695786370021
63,us_trade_share,2023-07-03,2.301477774416055
63,us_trade_share,2023-07-11,2.6282779145907598
63,us_trade_share,2023-07-18,1.6432127149711762
63,us_trade_share,2023-07-25,1.4987532500443879
63,us_trade_share,2023-08-01,0.9118184992638667
63,us_trade_share,2023-08-08,-0.19704439012566688
63,us_trade_share,2023-08-15,-1.202923502619152
63,us_trade_share,2023-08-22,-0.7346415571308662
63,us_trade_share,2023-08-29,-1.0303211013903246
63,us_trade_share,2023-09-06,-2.3797493850193474
63,us_trade_share,2023-09-13,-2.8237941916439024
63,us_trade_share,2023-09-20,-2.7869632679279888
63,us_trade_share,2023-09-27,-1.9633692096367783
63,us_trade_share,2023-10-04,-3.349770689036796
63,us_trade_share,2023-10-11,-3.998530158224445
63,us_variance_share,2022-04-12,4.98248518266014
63,us_variance_share,2022-04-20,0.681467616726017
63,us_variance_share,2022-04-27,-0.2043232732962863
63,us_variance_share,2022-05-04,-2.1825238765033452
63,us_variance_share,2022-05-11,-5.323903693718285
63,us_variance_share,2022-05-18,-6.882086010155064
63,us_variance_share,2022-05-25,-10.538467737131729
63,us_variance_share,2022-06-02,-11.292797073446426
63,us_variance_share,2022-06-09,-11.836638911413106
63,us_variance_share,2022-06-16,-11.836638911413106
63,us_variance_share,2022-06-24,-7.627013894630968
63,us_variance_share,2022-07-01,-5.876818601576689
63,us_variance_share,2022-07-11,-4.04189128175933
63,us_variance_share,2022-07-18,-4.04189128175933
63,us_variance_share,2022-07-25,-0.1471271198097479
63,us_variance_share,2022-08-01,1.4687323679311914
63,us_variance_share,2022-08-08,4.896012869640742
63,us_variance_share,2022-08-15,8.941203707474104
63,us_variance_share,2022-08-22,10.16799509326638
63,us_variance_share,2022-08-29,9.89933739099394
63,us_variance_share,2022-09-06,9.43946357982553
63,us_variance_share,2022-09-13,9.727369954394849
63,us_variance_share,2022-09-20,8.523846013621949
63,us_variance_share,2022-09-27,4.116080236473224
63,us_variance_share,2022-10-04,1.4687323679311914
63,us_variance_share,2022-10-11,2.5133779891875543
63,us_variance_share,2022-10-18,1.515316299143421
63,us_variance_share,2022-10-25,1.1946330626217638
63,us_variance_share,2022-11-01,1.1946330626217638
63,us_variance_share,2022-11-08,-0.184061085258308
63,us_variance_share,2022-11-15,-0.3981090215552763
63,us_variance_share,2022-11-22,-0.298794298487598
63,us_variance_share,2022-11-30,3.5358619320504605
63,us_variance_share,2022-12-07,4.003401693975961
63,us_variance_share,2022-12-14,4.003401693975961
63,us_variance_share,2022-12-21,5.120597739058991
63,us_variance_share,2022-12-29,5.070415670985645
63,us_variance_share,2023-01-06,5.026460974224889
63,us_variance_share,2023-01-13,0.9331349598247218
63,us_variance_share,2023-01-23,-0.184061085258308
63,us_variance_share,2023-01-30,2.236732597881952
63,us_variance_share,2023-02-06,2.236732597881952
63,us_variance_share,2023-02-13,1.30359763805723
63,us_variance_share,2023-02-21,-1.2260384440182959
63,us_variance_share,2023-02-28,-2.8699987324739995
63,us_variance_share,2023-03-07,-1.1584843234725084
63,us_variance_share,2023-03-14,-2.8699987324739995
63,us_variance_share,2023-03-21,-0.4529418026013199
63,us_variance_share,2023-03-29,-0.39124128061354124
63,us_variance_share,2023-04-05,0.061700521987778645
63,us_variance_share,2023-04-13,2.786294586171306
63,us_variance_share,2023-04-20,5.415887969558497
63,us_variance_share,2023-04-27,5.943204253404122
63,us_variance_share,2023-05-04,2.082527363926534
63,us_variance_share,2023-05-11,4.112290331501267
63,us_variance_share,2023-05-18,4.4874274289359475
63,us_variance_share,2023-05-25,6.624751533518724
63,us_variance_share,2023-06-02,7.102987712353887
63,us_variance_share,2023-06-09,5.267234819910427
63,us_variance_share,2023-06-16,7.447072743774985
63,us_variance_share,2023-06-26,4.499991777051459
63,us_variance_share,2023-07-03,4.3923511334144845
63,us_variance_share,2023-07-11,6.162885005654905
63,us_variance_share,2023-07-18,4.0206187313627515
63,us_variance_share,2023-07-25,1.1738942767162586
63,us_variance_share,2023-08-01,1.8906722247345908
63,us_variance_share,2023-08-08,0.45011323237129086
63,us_variance_share,2023-08-15,-1.2841076799710138
63,us_variance_share,2023-08-22,-0.4096828841841482
63,us_variance_share,2023-08-29,-2.5470069887669258
63,us_variance_share,2023-09-06,-4.755863835623892
63,us_variance_share,2023-09-13,-4.755863835623892
63,us_variance_share,2023-09-20,-5.596380965665965
63,us_variance_share,2023-09-27,-4.870895451135265
63,us_variance_share,2023-10-04,-5.9297040371991185
63,us_variance_share,2023-10-11,-8.572821703728401
63,us_abs_return_share,2022-04-12,2.215195339880011
63,us_abs_return_share,2022-04-20,2.0457703849934616
63,us_abs_return_share,2022-04-27,1.6777709086706838
63,us_abs_return_share,2022-05-04,0.8930273137971678
63,us_abs_return_share,2022-05-11,-0.11492577931717096
63,us_abs_return_share,2022-05-18,-1.3628135970933652
63,us_abs_return_share,2022-05-25,-2.4154078535570003
63,us_abs_return_share,2022-06-02,-3.2310547284021327
63,us_abs_return_share,2022-06-09,-3.4739839459322184
63,us_abs_return_share,2022-06-16,-3.7227877253893036
63,us_abs_return_share,2022-06-24,-1.6072764230137149
63,us_abs_return_share,2022-07-01,-1.2092495869386821
63,us_abs_return_share,2022-07-11,-0.395461558082183
63,us_abs_return_share,2022-07-18,-0.2472237494755558
63,us_abs_return_share,2022-07-25,-0.24667449373267925
63,us_abs_return_share,2022-08-01,0.4756170766714085
63,us_abs_return_share,2022-08-08,1.2874554696480356
63,us_abs_return_share,2022-08-15,2.2579366890825847
63,us_abs_return_share,2022-08-22,3.821148053099682
63,us_abs_return_share,2022-08-29,3.822066678974967
63,us_abs_return_share,2022-09-06,3.5611356805994197
63,us_abs_return_share,2022-09-13,3.567667653548284
63,us_abs_return_share,2022-09-20,3.2448935084832318
63,us_abs_return_share,2022-09-27,1.5371702198533121
63,us_abs_return_share,2022-10-04,-0.5900797957593795
63,us_abs_return_share,2022-10-11,-0.16446250390192985
63,us_abs_return_share,2022-10-18,-0.16446250390192985
63,us_abs_return_share,2022-10-25,-1.1069450163907868
63,us_abs_return_share,2022-11-01,-2.0698354738693467
63,us_abs_return_share,2022-11-08,-0.7498539965315243
63,us_abs_return_share,2022-11-15,-0.3170333951751314
63,us_abs_return_share,2022-11-22,0.35551210487050344
63,us_abs_return_share,2022-11-30,0.8812322796549643
63,us_abs_return_share,2022-12-07,1.3050468554072325
63,us_abs_return_share,2022-12-14,1.8986202373118322
63,us_abs_return_share,2022-12-21,2.360173353132872
