hour,Q1,Q4,Q4_minus_Q1_pp
0,0.0023862054977080672,0.002489912099011459,0.010370660130339191
1,0.0023264279204893027,0.0025978654747466634,0.027143755425736073
2,0.002913258713060316,0.0030616260280456834,0.01483673149853676
3,0.0030690069219194054,0.003200008605417931,0.013100168349852552
4,0.003244355714117662,0.0029923928358856866,-0.025196287823197553
5,0.0030095532807431938,0.0026240188097522575,-0.03855344709909363
6,0.0030653539036195987,0.002487805301389882,-0.05775486022297168
7,0.003132960860869342,0.0028434820803952647,-0.02894787804740774
8,0.00448395751317545,0.0036004341753372647,-0.08835233378381856
9,0.006361546667259444,0.005949085309800123,-0.04124613574593211
10,0.007284657244720809,0.0072511516859270556,-0.0033505558793753103
11,0.005720283275583952,0.005637138702023412,-0.008314457356053961
12,0.0045856795795718025,0.004951298140108292,0.03656185605364895
13,0.0037515714458194517,0.0045408121328577924,0.07892406870383407
14,0.0037755605635317133,0.004093211047106629,0.03176504835749154
15,0.0038940842842550777,0.00442685375866662,0.053276947441154195
16,0.002931512696077722,0.003181249669119816,0.02497369730420939
17,0.002249874352577745,0.0027620588685747763,0.05121845159970313
18,0.0023294319425522297,0.0023460906158059816,0.0016658673253751918
19,0.00218454673206871,0.002342458929681259,0.015791219761254922
20,0.0027678672148950052,0.002596679911299593,-0.017118730359541243
21,0.0030972394675185403,0.0025372186562469747,-0.05600208112715656
22,0.00259958278064056,0.0024381527861234626,-0.01614299945170974
23,0.0021688147605582343,0.002382327710009453,0.021351294945121894
