metric,pre_n,post_n,pre_mean,post_mean,delta_mean,pre_median,post_median,delta_median,delta_median_pp,mann_whitney_u,mann_whitney_p,rank_biserial,hac_beta,hac_beta_pp,hac_se,hac_p,hac_ci_low_pp,hac_ci_high_pp,bootstrap_median_delta,bootstrap_ci_low_pp,bootstrap_ci_high_pp
us_volume_share,501,501,0.3769961842783847,0.4068370577818494,0.029840873503464704,0.3732511364559486,0.40291485273258665,0.029663716276638052,2.966371627663805,98377.0,3.1879560556929335e-09,0.21612264492970146,0.029840873503462734,2.9840873503462735,0.007641218842777525,9.412783995327089e-05,1.4864084571618785,4.481766243530668,0.030457656469174227,1.5064984649785662,4.926833157299071
us_trade_share,501,501,0.3555766423541837,0.41729370701943425,0.061717064665250565,0.352723671554408,0.4168932233586531,0.0641695518042451,6.416955180424511,64725.0,3.517679029025039e-40,0.48426500292827523,0.06171706466524868,6.171706466524868,0.007399972453734924,7.418072110447065e-17,4.721311865592822,7.622101067456913,0.06430960889123455,4.774730936934767,8.389997145457206
us_variance_share,501,501,0.42275228464109893,0.4677235750253881,0.04497129038428915,0.41927191322816654,0.47614228027857164,0.0568703670504051,5.68703670504051,101285.0,1.245241034028527e-07,0.19295142250429276,0.04497129038428682,4.497129038428682,0.012439282747523258,0.00030004176866982855,2.0590296199141234,6.93522845694324,0.05617032738882993,2.4921054626928227,9.213268742486957
us_abs_return_share,501,501,0.35172287611924974,0.3738205678494375,0.022097691730187774,0.3480797483550984,0.3725219919919881,0.024442243636889682,2.444224363688968,97747.0,1.3683487811814086e-09,0.2211425452488237,0.022097691730185998,2.2097691730186,0.005711086723047215,0.00010916521500677365,1.0903961753013458,3.3291421707358535,0.024416085120843645,1.2731316798578036,3.616384365618879
