months,metric,n_pre,n_post,median_delta_pp,mw_p,hac_beta_pp,hac_low_pp,hac_high_pp,hac_p
6,us_volume_share,128,124,0.19222267028738416,0.43509728072219467,0.9447518508837994,-2.0232190664978273,3.912722768265427,0.5326940187991176
6,us_trade_share,128,124,-0.23192532941998523,0.8201738477759752,0.3619612756440646,-1.9687170055485381,2.6926395568366677,0.7608278640259369
6,us_variance_share,128,124,-2.571834025945219,0.41999548187357816,-1.0718931165424679,-5.967171234376297,3.8233850012913613,0.667798919059255
6,us_abs_return_share,128,124,-0.5715995527477369,0.5950245322366468,-0.4129931149769145,-2.695145228353977,1.8691589984001482,0.7228185694018036
12,us_volume_share,250,251,2.044129612040674,0.0004852465683136566,2.4657178032985283,0.617246255118685,4.314189351478372,0.008936126933779424
12,us_trade_share,250,251,4.567436294217747,1.140067244956524e-09,4.013826025811129,1.960463420857083,6.067188630765175,0.00012745513290167359
12,us_variance_share,250,251,1.8839964988056068,0.31632523923365674,0.8932630220774729,-2.2278954617340214,4.014421505888967,0.5748356264176523
12,us_abs_return_share,250,251,1.3770406139609837,0.10686248419130763,0.634814476225154,-0.7877380881607001,2.057367040611008,0.38176407762462594
18,us_volume_share,378,374,3.385336628849905,1.7612440036572466e-09,3.4019587833673426,1.8077183365446794,4.996199230190006,2.8837788032681513e-05
18,us_trade_share,378,374,6.328670999982345,6.976170326451468e-29,5.914639156011475,4.242800675888056,7.5864776361348945,4.0881965506439584e-12
18,us_variance_share,378,374,4.88338082047986,0.00018373979376804796,3.4996353715987025,0.89054674350128,6.108723999696125,0.008563719821577264
18,us_abs_return_share,378,374,2.40637691476922,7.997158998234312e-06,1.7904755081109613,0.5896426540949349,2.9913083621269876,0.0034732836270604493
24,us_volume_share,501,501,2.966371627663805,3.1879560556929335e-09,2.9840873503462735,1.4864084571618785,4.481766243530668,9.412783995327089e-05
24,us_trade_share,501,501,6.416955180424511,3.517679029025039e-40,6.171706466524868,4.721311865592822,7.622101067456913,7.418072110447065e-17
24,us_variance_share,501,501,5.68703670504051,1.245241034028527e-07,4.497129038428682,2.0590296199141234,6.93522845694324,0.00030004176866982855
24,us_abs_return_share,501,501,2.444224363688968,1.3683487811814086e-09,2.2097691730186,1.0903961753013458,3.3291421707358535,0.00010916521500677365
