half_window,metric,actual_delta_pp,n_placebo,placebo_median_pp,placebo_p05_pp,placebo_p95_pp,placebo_max_abs_pp,empirical_two_sided_p,empirical_upper_p,actual_percentile
63,us_volume_share,4.1178225789338,76,0.7230501032839121,-5.6902747968815515,3.866063788871016,8.025635131937392,0.18181818181818182,0.03896103896103896,97.36842105263158
63,us_trade_share,2.093316486206198,76,1.1585746262692016,-4.178064184505151,3.32063893976859,6.260089474000202,0.5844155844155844,0.35064935064935066,65.78947368421053
63,us_variance_share,3.58505041218839,76,1.1946330626217638,-9.064233212079234,9.06576867556196,11.836638911413106,0.5584415584415584,0.35064935064935066,65.78947368421053
63,us_abs_return_share,1.6319135576012056,76,0.4719805168999225,-3.491233449130407,3.7825702447004645,4.88086361529787,0.5064935064935064,0.35064935064935066,65.78947368421053
126,us_volume_share,0.387568212606898,50,2.4029296088904086,-2.301181037017236,3.9524695946075883,4.217199386666137,0.9215686274509803,0.7450980392156863,26.0
126,us_trade_share,-0.09165263700866566,50,2.0659757882597276,-1.6809478001468974,4.277525462000904,4.592556037602496,0.9803921568627451,0.7254901960784313,28.000000000000004
126,us_variance_share,-2.3669925838531447,50,4.44197074640223,1.5874489676707348,6.970656800065523,7.607498637861088,0.8235294117647058,1.0,0.0
126,us_abs_return_share,-0.5149044778918421,50,1.5212507133037068,0.41436878876446315,2.54043522975971,2.9055740046451506,0.9019607843137255,1.0,0.0
189,us_volume_share,1.0882296606013198,25,3.233832543384263,0.02562121934793552,4.086260376405548,4.153046308839375,0.7692307692307693,0.7692307692307693,24.0
189,us_trade_share,2.65104215932942,25,3.142715276407726,0.10174137728850234,3.5783644914506416,3.583352377643778,0.5769230769230769,0.5769230769230769,44.0
189,us_variance_share,0.4951421952985591,25,6.550826676275068,5.411705592185831,7.047527057929765,7.1784289088263895,1.0,1.0,0.0
189,us_abs_return_share,0.735557076708071,25,2.077732545617855,1.5302540086054806,2.5078822809952026,2.59653284876209,1.0,1.0,0.0
