metric,pre_n,post_n,pre_median,post_median,delta_median_pp,mann_whitney_p
us_volume_share,499,500,0.42248531391575433,0.510545285208739,8.805997129298465,2.411171734002754e-41
us_variance_share,499,500,0.4019371038721878,0.4601388381512169,5.820173427902914,1.2521570598425343e-09
us_abs_return_share,499,500,0.34203225955224237,0.3694018212229128,2.736956167067045,2.8412653699664257e-10
